batches_per_epoch,e_alpha,epoch,full_train_acc,full_train_loss,fwd_time_in_epoch,learning_rate,len_train_ds,len_val_ds,paramnorm_transformer.decoder.blocks.0.ffn.ffn.0.weight,paramnorm_transformer.decoder.blocks.0.ffn.ffn.2.weight,paramnorm_transformer.decoder.blocks.0.ffn_norm.bias,paramnorm_transformer.decoder.blocks.0.ffn_norm.weight,paramnorm_transformer.decoder.blocks.0.self_attn.Wo.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.0.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.0.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.0.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.1.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.1.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.1.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.2.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.2.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.2.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.3.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.3.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.3.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn_norm.bias,paramnorm_transformer.decoder.blocks.0.self_attn_norm.weight,paramnorm_transformer.decoder.blocks.1.ffn.ffn.0.weight,paramnorm_transformer.decoder.blocks.1.ffn.ffn.2.weight,paramnorm_transformer.decoder.blocks.1.ffn_norm.bias,paramnorm_transformer.decoder.blocks.1.ffn_norm.weight,paramnorm_transformer.decoder.blocks.1.self_attn.Wo.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.0.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.0.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.0.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.1.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.1.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.1.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.2.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.2.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.2.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.3.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.3.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.3.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn_norm.bias,paramnorm_transformer.decoder.blocks.1.self_attn_norm.weight,paramnorm_transformer.embedding.weight,paramnorm_transformer.linear.weight,phdim_0,step,time_per_epoch,train_accuracy,train_loss,train_perplexity,val_accuracy,val_loss,val_perplexity
10.0,,0,,,0.0752444267272949,0.0,4704.0,4705.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.4809203147888183,0.0,4.789007186889648,120.18199920654295,0.0,,
,,1,0.0,3.1873490810394287,,,,,0.0512917414307594,0.0259214118123054,0.0044858898036181,1.0002100467681885,0.0510493591427803,0.051601942628622,0.050745666027069,0.0511208698153495,0.0510803200304508,0.0508415438234806,0.0509716011583805,0.0512803196907043,0.0513020008802413,0.0515464879572391,0.0515515655279159,0.0516704730689525,0.0505256876349449,0.0044261319562792,1.0001368522644043,0.051099956035614,0.0259087402373552,0.0048081623390316,1.0010982751846311,0.0511168278753757,0.0515582710504531,0.0515172369778156,0.0515541285276412,0.0511238873004913,0.0516039878129959,0.0513298846781253,0.0510707423090934,0.0515144504606723,0.0513086132705211,0.0512117706239223,0.0505830571055412,0.0507610514760017,0.0044548222795128,0.999907612800598,1.000181794166565,0.0509369112551212,,10,,,,,0.0,3.1908657550811768,24.30946350097656
10.0,,1,,,0.0672738552093505,0.0010000000474974,4704.0,4705.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,2.028763771057129,0.0,2.9750218391418457,19.590051651000977,0.0,,
,,2,0.0,2.5326974391937256,,,,,0.0518603362143039,0.0269407015293836,0.0076412823982536,1.0002700090408323,0.0514262430369854,0.0521889477968215,0.0513555519282817,0.0515697337687015,0.051447294652462,0.0511429756879806,0.0514061972498893,0.0517911128699779,0.051795519888401,0.0519324578344821,0.0522951632738113,0.052559096366167,0.0509684681892395,0.0077195628546178,1.000232219696045,0.0515433810651302,0.0267791710793972,0.0092454412952065,1.0043268203735352,0.0514151044189929,0.0519211702048778,0.0518333688378334,0.0519844703376293,0.0514769032597541,0.0518714487552642,0.0515924058854579,0.0514869354665279,0.051961351186037,0.0516010634601116,0.0515576638281345,0.0509629361331462,0.0510005615651607,0.007547487039119,0.9995853304862976,1.0000121593475342,0.0516087636351585,,20,,,,,0.0,2.542230129241944,12.707980155944824
10.0,,2,,,0.0770695209503173,0.0010000000474974,4704.0,4705.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,1.5904107093811035,0.5739796161651611,2.460029363632202,11.705155372619627,0.0,,
,,3,2.062074899673462,2.365098237991333,,,,,0.052324179559946,0.0276540666818618,0.0086216451600193,1.0004539489746094,0.0517029948532581,0.0529644005000591,0.0521741472184658,0.0518927536904811,0.0515646897256374,0.0513133592903614,0.0516058765351772,0.0523623675107955,0.052338421344757,0.0521789602935314,0.0532011166214942,0.0535016655921936,0.0514888986945152,0.0089561752974987,1.0002843141555786,0.0519306026399135,0.0273420680314302,0.0135590648278594,1.010041117668152,0.0515019968152046,0.0522338263690471,0.0521330162882804,0.0521221570670604,0.0518331192433834,0.0521803572773933,0.0517122112214565,0.0518705435097217,0.0523916631937027,0.0516864396631717,0.0520528964698314,0.051481045782566,0.051104087382555,0.008562522009015,0.9996095299720764,0.9999245405197144,0.0525417104363441,,30,,,,,2.0403826236724854,2.377143383026123,10.77408218383789
10.0,,3,,,0.0633847713470459,0.0010000000474974,4704.0,4705.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,0.360720157623291,2.062074661254883,2.3527908325195312,10.514873504638672,2.0403826236724854,,
,,4,2.062074899673462,2.3223772048950195,,,,,0.0525543764233589,0.0279927738010883,0.009073575027287,1.0004875659942627,0.0518421791493892,0.0534135587513446,0.0526293702423572,0.0520601831376552,0.0516993775963783,0.0514840073883533,0.0517148673534393,0.0526673272252082,0.0526107810437679,0.0523010939359664,0.053674142807722,0.0539712682366371,0.0517547652125358,0.0094891730695962,1.0002883672714231,0.0521541275084018,0.0276117715984582,0.0169398598372936,1.0151151418685913,0.0515488944947719,0.052345473319292,0.052254594862461,0.0521903149783611,0.0520488806068897,0.0523902140557765,0.0517715625464916,0.052096176892519,0.0526465363800525,0.0517317540943622,0.0524474307894706,0.0518788360059261,0.0511915311217308,0.0090803010389208,0.9995849132537842,0.9998869299888612,0.0533576719462871,,40,,,,,2.0403826236724854,2.332507848739624,10.303750038146973
10.0,,4,,,0.057999849319458,0.0010000000474974,4704.0,4705.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,1.420612335205078,2.1896259784698486,2.321600437164306,10.191972732543944,2.0403826236724854,,
,,5,2.062074899673462,2.3028903007507324,,,,,0.0526534244418144,0.0281359292566776,0.009246801957488,1.0004853010177612,0.0519012436270713,0.053779486566782,0.0529860034584999,0.0521686449646949,0.0518551617860794,0.0516511052846908,0.0517808943986892,0.0528233237564563,0.0527533404529094,0.0523583143949508,0.0539003163576126,0.0542118065059185,0.0518796220421791,0.0096809845417737,1.0002903938293457,0.0522571131587028,0.027732266113162,0.0192668456584215,1.0189261436462402,0.0515773482620716,0.0524163097143173,0.0523437336087226,0.052219308912754,0.0522367842495441,0.0525621175765991,0.0518148988485336,0.0522243790328502,0.0527972057461738,0.0517608188092708,0.052887886762619,0.0523212254047393,0.0512653365731239,0.009307294152677,0.9995563626289368,0.999877154827118,0.0539739467203617,,50,,,,,2.0403826236724854,2.312976837158203,10.104458808898926
