batches_per_epoch,epoch,full_train_acc,full_train_loss,fwd_time_in_epoch,learning_rate,len_train_ds,len_val_ds,paramnorm_transformer.decoder.blocks.0.ffn.ffn.0.weight,paramnorm_transformer.decoder.blocks.0.ffn.ffn.2.weight,paramnorm_transformer.decoder.blocks.0.ffn_norm.bias,paramnorm_transformer.decoder.blocks.0.ffn_norm.weight,paramnorm_transformer.decoder.blocks.0.self_attn.Wo.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.0.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.0.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.0.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.1.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.1.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.1.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.2.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.2.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.2.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.3.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.3.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.3.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn_norm.bias,paramnorm_transformer.decoder.blocks.0.self_attn_norm.weight,paramnorm_transformer.decoder.blocks.1.ffn.ffn.0.weight,paramnorm_transformer.decoder.blocks.1.ffn.ffn.2.weight,paramnorm_transformer.decoder.blocks.1.ffn_norm.bias,paramnorm_transformer.decoder.blocks.1.ffn_norm.weight,paramnorm_transformer.decoder.blocks.1.self_attn.Wo.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.0.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.0.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.0.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.1.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.1.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.1.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.2.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.2.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.2.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.3.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.3.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.3.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn_norm.bias,paramnorm_transformer.decoder.blocks.1.self_attn_norm.weight,paramnorm_transformer.embedding.weight,paramnorm_transformer.linear.weight,phdim_0,step,time_per_epoch,train_accuracy,train_loss,train_perplexity,val_accuracy,val_loss,val_perplexity
12.0,0,,,0.0788366794586181,0.0,5645.0,3764.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0.4146373271942138,0.0,4.259045600891113,70.74243927001953,0.0,,
,1,0.0,2.959508180618286,,,,,0.0511323288083076,0.0261304061859846,0.0052066990174353,0.9994855523109436,0.0516386069357395,0.051431156694889,0.0512219294905662,0.0511610843241214,0.0520812012255191,0.0514192804694175,0.0512364543974399,0.0510248988866806,0.05122846737504,0.0517543442547321,0.0507253743708133,0.0502326115965843,0.0519713722169399,0.0052870414219796,0.9997539520263672,0.0511436462402343,0.0260809380561113,0.0056468439288437,1.001495361328125,0.0510848984122276,0.0510099828243255,0.0512158200144767,0.0509729534387588,0.05099418759346,0.0510695502161979,0.0517104789614677,0.0502797067165374,0.0509868972003459,0.0517746917903423,0.0513057895004749,0.0511272959411144,0.0516807064414024,0.0051731090061366,0.9994264245033264,0.9876695275306702,0.0510093718767166,,12,,,,,0.0,2.967991590499878,19.452810287475582
12.0,1,,,0.0909416675567627,0.0010000000474974,5645.0,3764.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,1.7324929237365725,0.0,2.732029676437378,15.364039421081545,0.0,,
,2,1.09831702709198,2.4213521480560303,,,,,0.0516885556280612,0.0270966943353414,0.0075270417146384,0.9988465905189514,0.0519902557134628,0.0528763085603714,0.0524490140378475,0.0517479255795478,0.0527042485773563,0.0521096810698509,0.0515202581882476,0.051628541201353,0.0518129505217075,0.052195020020008,0.0510159656405448,0.0505292899906635,0.0522598810493946,0.0078014284372329,0.9990708827972412,0.0516388826072216,0.0269399676471948,0.0108181815594434,1.0061821937561035,0.0512593612074852,0.051512598991394,0.0517168305814266,0.0511595830321311,0.0516379997134208,0.0517336763441562,0.051957868039608,0.0509592741727829,0.0516402721405029,0.0519163906574249,0.0519741028547287,0.0517825074493885,0.0519121661782264,0.0074700890108942,0.9987662434577942,0.987395703792572,0.0519643984735012,,24,,,,,0.6907545328140259,2.436319589614868,11.430892944335938
12.0,2,,,0.0787549018859863,0.0010000000474974,5645.0,3764.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,1.5295872688293457,0.9920282959938048,2.3947958946228027,10.965959548950195,0.6907545328140259,,
,3,1.0806022882461548,2.3421854972839355,,,,,0.0520190261304378,0.0275908056646585,0.0082487743347883,0.9985989332199096,0.0521841868758201,0.0538019090890884,0.0532182492315769,0.0521220453083515,0.0530580915510654,0.0525085888803005,0.0516649633646011,0.0519294664263725,0.0521273836493492,0.0523870550096035,0.0511956848204135,0.0506978072226047,0.0524149946868419,0.0086439726874232,0.9988254904747008,0.0519718192517757,0.0273735411465168,0.0151718435809016,1.011767029762268,0.0513166189193725,0.0516949258744716,0.0518743619322776,0.0512544475495815,0.0520612671971321,0.0521847642958164,0.0520453453063964,0.0513546839356422,0.0520140565931797,0.0519676953554153,0.0524409264326095,0.0522254630923271,0.0519692115485668,0.0083056446164846,0.9985358119010924,0.9872841835021972,0.0530133582651615,,36,,,,,0.7704569697380066,2.353194236755371,10.519116401672363
12.0,3,,,0.0667316913604736,0.0010000000474974,5645.0,3764.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,0.3802282810211181,1.0274578332901,2.3373665809631348,10.353934288024902,0.7704569697380066,,
,4,1.13374662399292,2.31885027885437,,,,,0.0521498173475265,0.0277815498411655,0.0085391402244567,0.9984734058380128,0.0522442236542701,0.0541692674160003,0.0535265281796455,0.0522796437144279,0.053195621818304,0.0526431575417518,0.0517039820551872,0.0520397163927555,0.0522510260343551,0.0524465478956699,0.0512834265828132,0.050773587077856,0.0524461083114147,0.0088976677507162,0.9987012147903442,0.0521119087934494,0.0275452360510826,0.0180318783968687,1.0160082578659058,0.0513350330293178,0.0517774261534214,0.051940094679594,0.0513139739632606,0.0522285662591457,0.052366055548191,0.0520877800881862,0.0514149069786071,0.0520440973341465,0.0519590117037296,0.0526623614132404,0.0524289980530738,0.0519873611629009,0.0086276559159159,0.9984314441680908,0.9872474074363708,0.0538539998233318,,48,,,,,0.8235918879508972,2.32746958732605,10.251967430114746
12.0,4,,,0.065685749053955,0.0010000000474974,5645.0,3764.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,1.1691453456878662,1.0451726913452148,2.3206489086151123,10.182279586791992,0.8235918879508972,,
,5,1.222320556640625,2.311508178710937,,,,,0.0521936565637588,0.0278487764298915,0.0086528379470109,0.9983715415000916,0.0522662289440631,0.0542991086840629,0.0536370538175106,0.0523280426859855,0.053255345672369,0.0526946671307086,0.0517075024545192,0.0520695112645626,0.0522858351469039,0.0524675510823726,0.0513320825994014,0.0508193559944629,0.0524577535688877,0.0089806718751788,0.998609721660614,0.0521661601960659,0.0276126693934202,0.0198623053729534,1.0188806056976318,0.0513294674456119,0.0518068820238113,0.05194903165102,0.0513174869120121,0.0522509068250656,0.0523865595459938,0.0520932227373123,0.0514293983578681,0.0520382933318614,0.0519738420844078,0.0526811629533767,0.0524435229599475,0.0519893541932106,0.0087438151240348,0.9983500242233276,0.987235188484192,0.0544668808579444,,60,,,,,0.7438894510269165,2.3242805004119877,10.219325065612791
