batches_per_epoch,epoch,full_train_acc,full_train_loss,fwd_time_in_epoch,learning_rate,len_train_ds,len_val_ds,paramnorm_transformer.decoder.blocks.0.ffn.ffn.0.weight,paramnorm_transformer.decoder.blocks.0.ffn.ffn.2.weight,paramnorm_transformer.decoder.blocks.0.ffn_norm.bias,paramnorm_transformer.decoder.blocks.0.ffn_norm.weight,paramnorm_transformer.decoder.blocks.0.self_attn.Wo.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.0.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.0.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.0.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.1.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.1.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.1.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.2.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.2.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.2.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.3.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.3.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.3.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn_norm.bias,paramnorm_transformer.decoder.blocks.0.self_attn_norm.weight,paramnorm_transformer.decoder.blocks.1.ffn.ffn.0.weight,paramnorm_transformer.decoder.blocks.1.ffn.ffn.2.weight,paramnorm_transformer.decoder.blocks.1.ffn_norm.bias,paramnorm_transformer.decoder.blocks.1.ffn_norm.weight,paramnorm_transformer.decoder.blocks.1.self_attn.Wo.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.0.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.0.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.0.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.1.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.1.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.1.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.2.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.2.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.2.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.3.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.3.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.3.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn_norm.bias,paramnorm_transformer.decoder.blocks.1.self_attn_norm.weight,paramnorm_transformer.embedding.weight,paramnorm_transformer.linear.weight,phdim_0,step,time_per_epoch,train_accuracy,train_loss,train_perplexity,val_accuracy,val_loss,val_perplexity
,65957,100.0,5.0684217239860274e-11,,,,,0.2335686981678009,0.2191559672355651,0.4040194749832153,0.7851693034172058,0.1720681488513946,0.1833859086036682,0.1737305074930191,0.1924765855073928,0.191401332616806,0.1921315342187881,0.1883945316076278,0.197203516960144,0.1973062604665756,0.1765129566192627,0.2024982720613479,0.2050923109054565,0.1558033525943756,0.4067957401275635,1.0384433269500732,0.2469616383314132,0.2308096438646316,16.553064346313477,16.295820236206055,0.1737968772649765,0.1828892529010772,0.1702553629875183,0.1523050665855407,0.1822538822889328,0.1695993244647979,0.159939631819725,0.197465568780899,0.1748434603214264,0.1595263332128524,0.1864021867513656,0.16880764067173,0.154821515083313,0.22786645591259,1.132875680923462,1.0380902290344238,3.1467959880828857,,329786,,,,,83.22233581542969,4.627089977264404,102.21617126464844
5.0,65957,,,0.5488636493682861,0.0010000000474974,2352.0,7057.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329790,0.9612159729003906,100.0,1.2671053095658635e-10,1.0,83.22233581542969,,
,67276,100.0,2.534210619131726e-10,,,,,0.2358447313308715,0.2210305780172348,0.4082212746143341,0.7848064303398132,0.1736635863780975,0.1856481879949569,0.1739455163478851,0.1946297138929367,0.1928703188896179,0.1939347088336944,0.1904734373092651,0.1977355033159256,0.1987236589193344,0.1774567365646362,0.2039586007595062,0.206559956073761,0.1566859185695648,0.4113253951072693,1.0377764701843262,0.2488148808479309,0.2324998080730438,16.592287063598633,16.352733612060547,0.1752319782972335,0.1835102289915084,0.1701773554086685,0.1530491560697555,0.1827413588762283,0.1700823009014129,0.160740315914154,0.1991816461086273,0.1767022013664245,0.160116508603096,0.1876052170991897,0.1705438494682312,0.1561243236064911,0.2323910593986511,1.135815978050232,1.038732409477234,3.14741325378418,,336381,,,,,82.57049560546875,5.668160438537598,289.5014953613281
5.0,67276,,,0.0368626117706298,0.0010000000474974,2352.0,7057.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.049353122711182,336385,219.69903564453125,100.0,2.534210619131726e-10,1.0,82.57049560546875,,
,68621,100.0,6.867700630408535e-09,,,,,0.2381059527397155,0.2233142405748367,0.4109691083431244,0.786566972732544,0.1752631366252899,0.1875039339065551,0.1752582043409347,0.1958783864974975,0.194108173251152,0.1949855834245681,0.1922484636306762,0.1984907686710357,0.1996122300624847,0.1796322762966156,0.2058207690715789,0.2071897387504577,0.1579345613718032,0.4163976311683655,1.0381386280059814,0.250781774520874,0.2343050092458725,16.631046295166016,16.405284881591797,0.1769983768463134,0.1851538270711898,0.1715315133333206,0.154945433139801,0.1854467839002609,0.1720872968435287,0.1621980369091034,0.2004545032978058,0.1779147833585739,0.1612044721841812,0.1884915232658386,0.1708584129810333,0.1569704860448837,0.2337064296007156,1.1392858028411863,1.0390753746032717,3.1480071544647217,,343106,,,,,83.08062744140625,5.77643632888794,322.60748291015625
5.0,68621,,,0.0313448905944824,0.0010000000474974,2352.0,7057.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1212594509124756,343110,0.3871989250183105,100.0,6.867701074497745e-09,1.0,83.08062744140625,,
,69993,100.0,1.5205264825013387e-10,,,,,0.2399304956197738,0.2248801290988922,0.4153449237346649,0.7847183346748352,0.1763956397771835,0.1880778670310974,0.1750285774469375,0.1975492388010025,0.1952874958515167,0.1948666870594024,0.1937946826219558,0.1989163160324096,0.1990963965654373,0.1798592060804367,0.2064963579177856,0.2090286910533905,0.1585231274366378,0.4234583079814911,1.0348267555236816,0.2521592080593109,0.235415980219841,16.68345832824707,16.473262786865234,0.1781624853610992,0.1857819557189941,0.1726144701242447,0.1553598046302795,0.1857116818428039,0.1722497940063476,0.1630451083183288,0.2016436606645584,0.1792239993810653,0.1622990071773529,0.1888716667890548,0.1706925630569458,0.1571482270956039,0.2363788485527038,1.1407747268676758,1.0392184257507324,3.1491246223449707,,349966,,,,,83.335693359375,3.876474857330322,48.253814697265625
5.0,69993,,,0.0332143306732177,0.0010000000474974,2352.0,7057.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349970,0.3638162612915039,100.0,1.6472349040341783e-09,1.0,83.335693359375,,
,71392,100.0,5.0684217239860274e-11,,,,,0.2422287613153457,0.2269632071256637,0.4152722358703613,0.7850052118301392,0.1779642254114151,0.1889143884181976,0.175572007894516,0.1991184204816818,0.1960708349943161,0.195241317152977,0.1950164884328842,0.2001286000013351,0.2020204067230224,0.1821453273296356,0.2073988020420074,0.2104621231555938,0.1601236015558242,0.4313153028488159,1.0363361835479736,0.2542343735694885,0.237235426902771,16.751039505004883,16.565444946289062,0.1795283704996109,0.1883019357919693,0.1734787076711654,0.1571998000144958,0.1859918236732483,0.1725054681301117,0.1643578112125396,0.2033957242965698,0.180205151438713,0.1623680591583252,0.1912554502487182,0.1727930456399917,0.1581871956586837,0.2406785041093826,1.1428238153457642,1.0396791696548462,3.150507926940918,,356961,,,,,82.8539047241211,5.540579319000244,254.82557678222656
5.0,71392,,,0.035038948059082,0.0010000000474974,2352.0,7057.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356965,0.379105806350708,100.0,5.0684220709307226e-11,1.0,82.8539047241211,,
