epoch,train_accuracy,test_accuracy,phdim
2,24.604,33.52,"tensor(1.7823, device='cuda:0')"
4,44.344,45.45,"tensor(1.4064, device='cuda:0')"
6,58.964,61.7,"tensor(1.3560, device='cuda:0')"
8,65.63,67.24,"tensor(1.3235, device='cuda:0')"
10,70.168,69.71,"tensor(1.3295, device='cuda:0')"
12,73.464,70.14,"tensor(1.3223, device='cuda:0')"
14,76.308,73.12,"tensor(1.3421, device='cuda:0')"
16,78.51,72.29,"tensor(1.3208, device='cuda:0')"
18,79.822,72.77,"tensor(1.3142, device='cuda:0')"
20,81.276,71.83,"tensor(1.3121, device='cuda:0')"
22,82.564,73.33,"tensor(1.3496, device='cuda:0')"
24,83.89,73.81,"tensor(1.3685, device='cuda:0')"
26,84.758,73.01,"tensor(1.3742, device='cuda:0')"
28,85.64,74.1,"tensor(1.3700, device='cuda:0')"
30,86.814,73.8,"tensor(1.3756, device='cuda:0')"
32,87.156,73.98,"tensor(1.3659, device='cuda:0')"
34,87.674,74.1,"tensor(1.3488, device='cuda:0')"
36,88.276,73.97,"tensor(1.3458, device='cuda:0')"
38,88.488,73.85,"tensor(1.3461, device='cuda:0')"
40,89.39,73.01,"tensor(1.3402, device='cuda:0')"
42,89.766,74.6,"tensor(1.3459, device='cuda:0')"
44,89.738,73.98,"tensor(1.3362, device='cuda:0')"
46,90.27,73.91,"tensor(1.3233, device='cuda:0')"
48,90.952,74.05,"tensor(1.3309, device='cuda:0')"
50,91.456,73.89,"tensor(1.3195, device='cuda:0')"
52,91.46,73.98,"tensor(1.3254, device='cuda:0')"
54,91.64,73.34,"tensor(1.3273, device='cuda:0')"
56,91.674,73.49,"tensor(1.3304, device='cuda:0')"
58,91.868,72.86,"tensor(1.3221, device='cuda:0')"
60,92.226,74.45,"tensor(1.3489, device='cuda:0')"
62,92.802,73.25,"tensor(1.3414, device='cuda:0')"
64,92.682,74.45,"tensor(1.3569, device='cuda:0')"
66,92.662,72.9,"tensor(1.3454, device='cuda:0')"
68,92.956,74.02,"tensor(1.3542, device='cuda:0')"
70,93.204,74.63,"tensor(1.3497, device='cuda:0')"
72,93.448,72.43,"tensor(1.3459, device='cuda:0')"
74,93.448,71.56,"tensor(1.3536, device='cuda:0')"
76,93.004,72.99,"tensor(1.3460, device='cuda:0')"
78,93.758,71.69,"tensor(1.3644, device='cuda:0')"
80,93.612,72.76,"tensor(1.3632, device='cuda:0')"
82,93.904,73.61,"tensor(1.3632, device='cuda:0')"
84,93.786,73.04,"tensor(1.3607, device='cuda:0')"
86,93.576,73.52,"tensor(1.3462, device='cuda:0')"
88,94.012,74.0,"tensor(1.3518, device='cuda:0')"
90,93.88,74.12,"tensor(1.3571, device='cuda:0')"
92,94.222,72.94,"tensor(1.3583, device='cuda:0')"
94,94.078,73.78,"tensor(1.3499, device='cuda:0')"
96,94.206,73.84,"tensor(1.3532, device='cuda:0')"
98,93.936,73.77,"tensor(1.3388, device='cuda:0')"
100,94.544,74.03,"tensor(1.3706, device='cuda:0')"
