epoch,train_accuracy,val_accuracy,phdim_0
3,32.004,37.67,1.7399
6,53.416,58.28,1.428
9,65.362,66.58,1.334
12,71.544,70.35,1.3512
15,75.584,70.38,1.3613
18,78.96,72.37,1.3266
21,81.478,72.29,1.3003
24,83.176,73.49,1.3131
27,84.35,73.02,1.3405
30,86.26,73.66,1.3473
33,86.992,73.22,1.3429
36,88.278,72.97,1.3633
39,89.316,73.28,1.3545
42,89.972,73.21,1.3324
45,90.69,72.24,1.3288
48,91.184,73.68,1.326
51,91.444,73.57,1.3163
54,92.654,72.09,1.3414
57,92.236,72.8,1.3219
60,92.896,73.28,1.3354
63,92.898,73.76,1.3278
66,93.422,73.19,1.3325
69,94.032,72.93,1.3374
72,93.794,72.86,1.3466
75,94.054,72.98,1.346
78,94.17,74.21,1.3432
81,94.51,73.56,1.3577
84,94.466,73.42,1.3691
87,94.444,72.03,1.3442
90,94.886,72.15,1.3597
93,94.948,73.79,1.3653
96,95.362,73.49,1.3709
99,95.072,72.7,1.374
102,95.354,73.41,1.3802
105,94.934,73.4,1.3607
108,95.316,73.65,1.3726
111,95.518,73.68,1.3893
114,95.094,74.08,1.3648
117,95.422,73.73,1.3571
120,95.43,73.23,1.3521
123,95.43,72.74,1.3507
126,95.462,73.92,1.3763
129,95.544,74.31,1.3702
132,95.494,73.5,1.3696
135,95.712,73.4,1.3795
138,95.716,73.45,1.3659
141,96.24,73.26,1.3675
144,95.534,73.26,1.3733
147,95.866,73.05,1.3621
150,96.016,73.5,1.3666
